estimated_pickup_latitude,estimated_pickup_longitude,estimated_dropoff_latitude,estimated_dropoff_longitude,pickup_hex8,dropoff_hex8,pickup_centroid_lat,pickup_centroid_lon,dropoff_centroid_lat,dropoff_centroid_lon
23.77413352,90.36148402,23.74868238,90.4085896,883cf10cc7fffff,883cf10cb3fffff,23.77608124036896,90.36617387184424,23.75258759348207,90.40776631458965
23.783327,90.342583,23.72813,90.4147817,883cf10c1bfffff,883cf17655fffff,23.784189472584718,90.3427493651436,23.730224356130343,90.41111421491782
23.782405,90.362669,23.81125536,90.35243958,883cf10cc1fffff,883cf10e87fffff,23.783626361906393,90.36186993958377,23.81351885466306,90.35421378061979
23.78066021,90.39933063,23.7317348,90.4256263,883cf10c99fffff,883cf17619fffff,23.782492961011723,90.40011446771334,23.729650818507185,90.43023543327534
23.7767521,90.3667257,23.74390367,90.39190625,883cf10cc7fffff,883cf10cb5fffff,23.77608124036896,90.36617387184424,23.745609136563264,90.39294814480823
23.78637166,90.36715988,23.77815294,90.39681874,883cf10ccbfffff,883cf10c9dfffff,23.790888719139748,90.367126671988,23.775230876681984,90.39485650443552
23.85710023,90.40091716,23.776901,90.415982,883cf105b1fffff,883cf10c93fffff,23.85651090970993,90.40488861792731,23.774660976459952,90.41397966107493
23.874518,90.400836,23.7806685,90.4257638,883cf1059dfffff,883cf13941fffff,23.878848792964828,90.40153887813072,23.781636627099605,90.42880080426934
23.7101798,90.4282491,23.7902191,90.3908005,883cf17639fffff,883cf10cd1fffff,23.707569439103068,90.42402148974176,23.790322825881084,90.38624916487571
23.87440553,90.39953146,23.840234,90.357658,883cf10583fffff,883cf10ed1fffff,23.871591946988044,90.39627913509784,23.843122101983873,90.35611844483515
23.8813731,90.404287,23.8275878,90.4273564,883cf1059dfffff,883cf13b1dfffff,23.878848792964828,90.40153887813072,23.82605481057853,90.43166958137904
23.752863,90.382538,23.77329381,90.42477004,883cf10cabfffff,883cf13945fffff,23.753441586408567,90.37908471110562,23.774375128911405,90.42354165830746
23.87884889,90.4015401,23.7676711,90.42326034,883cf1059dfffff,883cf1396bfffff,23.878848792964828,90.40153887813072,23.766826873327872,90.42784474333793
23.71223469,90.4209784,23.77323796,90.42484313,883cf17603fffff,883cf13945fffff,23.71512179069552,90.41971922487646,23.774375128911405,90.42354165830746
23.70864707,90.42719811,23.78577111,90.42297879,883cf17639fffff,883cf13949fffff,23.707569439103068,90.42402148974176,23.789183856737147,90.42449751415508
23.73247382,90.42843729,23.79725695,90.4234048,883cf17619fffff,883cf13b23fffff,23.729650818507185,90.43023543327534,23.796730371644948,90.42019406381806
23.712458,90.428394,23.78846,90.40059,883cf17615fffff,883cf13b25fffff,23.71483451582931,90.42927946437668,23.78975453851014,90.40537278031883
23.731666,90.42572,23.77261,90.4192,883cf17619fffff,883cf13945fffff,23.729650818507185,90.43023543327534,23.774375128911405,90.42354165830746
23.718173,90.425068,23.695052,90.466448,883cf1761dfffff,883cf176a9fffff,23.722386557230866,90.42497715465107,23.6988604785004,90.46656529326138
23.69301835,90.47507018,23.7779782,90.3616134,883cf176a1fffff,883cf10cc7fffff,23.691305096143257,90.4708667741556,23.77608124036896,90.36617387184424
23.70386673,90.45282778,23.770335,90.406924,883cf176e1fffff,883cf10c97fffff,23.70670461730773,90.4527026954445,23.767398775847976,90.40872125819085
23.80205567,90.45699477,23.79609574,90.4149482,883cf13865fffff,883cf13b21fffff,23.80313084553871,90.45414418533679,23.797015608806994,90.41063144219831
23.73327225,90.35008997,23.75415927,90.37634743,883cf10dd7fffff,883cf10cabfffff,23.731930634847615,90.35375727664547,23.753441586408567,90.37908471110562
23.72806847,90.35847992,23.8070852,90.41890942,883cf10d9dfffff,883cf13b2bfffff,23.724382126218188,90.3580605471772,23.804276171532198,90.4158904532979
23.87165663,90.41660238,23.874525,90.39351,883cf10597fffff,883cf10583fffff,23.87102534578555,90.41540863427262,23.871591946988044,90.39627913509784
23.696615,90.5028698,23.73094808,90.40202214,883cf176b3fffff,883cf17643fffff,23.69769503209525,90.5048114096375,23.73051022896751,90.40155402423905
23.71211283,90.3654208,23.82380723,90.3965495,883cf10dbbfffff,883cf13b6bfffff,23.70928296850188,90.36666660995878,23.819649652313306,90.39771978539464
23.73651998,90.34076795,23.76606895,90.37885096,883cf10dddfffff,883cf10c81fffff,23.7397603157682,90.33989522873918,23.76825214382418,90.38003812707464
23.8599855,90.34859866,23.84644,90.4063,883cf10533fffff,883cf105b7fffff,23.858201158131937,90.34750823139629,23.84896931531486,90.4091931192449
23.72427753,90.51177353,23.7102853,90.43449057,883cf17693fffff,883cf1763bfffff,23.7197778262524,90.51103281298965,23.707281762076278,90.43358161390722
23.71695625,90.36626905,23.739289,90.375368,883cf10d95fffff,883cf10ca7fffff,23.716832904005763,90.36236365829487,23.738629187547115,90.37813139390511
23.68821968,90.47639653,23.760364,90.447903,883cf176a3fffff,883cf13907fffff,23.691014228609234,90.48042777386294,23.7587028036066,90.45127203519111
23.71295178,90.45575358,23.7063987,90.4120235,883cf176ebfffff,883cf17607fffff,23.713969108835613,90.45796184973791,23.707856519272113,90.41446164400533
23.89164077,90.36413468,23.88889438,90.38569529,883cf105c9fffff,883cf105d5fffff,23.89476989295282,90.36423464720362,23.88667011365449,90.38766901227378
23.89270418,90.36350269,23.88889503,90.38569641,883cf105c9fffff,883cf105d5fffff,23.89476989295282,90.36423464720362,23.88667011365449,90.38766901227378
23.7514969,90.45351595,23.71704851,90.46839345,883cf1393dfffff,883cf1768dfffff,23.751152315738523,90.45557456807809,23.713679445588358,90.46752319874398
23.69209308,90.39401013,23.73810085,90.3959068,883cf1762dfffff,883cf1764bfffff,23.6936105581644,90.39438875086208,23.738060039513314,90.3972511644559
